text,likes,retweets,created_at,hashtag
Open your home to delicious #dishes! We are here to add some new variety to your #cooking repertoire with a fresh b… https://t.co/DmTynY53x9,3,2,2021-02-16 23:30:05,#cooking
"Happy pancake day! 

Building futures celebrated #pancakeday by making pancakes on an open fire in the in the snow.… https://t.co/K6T439Xfzh",3,0,2021-02-16 23:29:16,#cooking
"CLICK LINK TO VIEW POST =&gt; https://t.co/Mo1vw5ZXc4 
गरमागरम हॉट चॉकलेट | Hot Chocolate recipe with all tips for per… https://t.co/Ow6R2gPrir",0,0,2021-02-16 23:27:28,#cooking
My next MC takes up cooking to deal with life’s stresses. Help me make her a wizard in the kitchen . . . cause I ce… https://t.co/h5GogCFZFS,3,0,2021-02-16 23:25:46,#cooking
"RT @VictoriaGourmet: Move over taco Tuesday, its Tamale Pie Tuesday now! Rotisserie chicken is layered with polenta, enchilada sauce or sal…",0,2,2021-02-16 23:25:13,#cooking
90s MUSIC IS ALWAYS A MOOD WHEN IM IN THE KITCHEN COOKING #90smusic #cooking #issamood,1,0,2021-02-16 23:23:19,#cooking
Ready to add making cornbread muffins from scratch to your #cooking repertoire? #goodfood  https://t.co/jEk4O1Ofku https://t.co/FyFQeu2pvl,0,0,2021-02-16 23:23:13,#cooking
RT @justsimplywood: Hand carving a walnut tasting spoon with a Hirsch gouge.  #foodstyling #kitchentable #cooking  #handcarving #cheflife…,0,1,2021-02-16 23:22:37,#cooking
"To enhance flavours, make sure to toast your spices!

#food #cooking #recipes https://t.co/DYfzcAeoFP",1,0,2021-02-16 23:22:10,#cooking
"RT @CreationYummy: Moist Chocolate Cake(Without Oven)
Steaming a Chocolate Cake batter produces a light, moist cake with homemade chocolate…",0,6,2021-02-16 23:21:34,#cooking
"Opening a cooking school or starting #cooking classes can be a blast. But, before you get started, consider these q… https://t.co/y1uYGAiXZ5",0,0,2021-02-16 23:20:19,#cooking
"RT @SineaPies: Spring Chef stainless steel 2-sided magnetic measuring spoon set.
#Ad &gt;&gt; https://t.co/J2GODnfAhN
#cooking  #foodie  #kitchen…",0,16,2021-02-16 23:19:41,#cooking
RT @ladyboarder9669: RT! GET 30% OFF TODAY!! *Everyone** Check out these new pop-culture subscription boxes! Which is your favorite?  #crat…,0,2,2021-02-16 23:19:13,#cooking
RT @Charlesfrize: Reading about this: Cooking Class - #Cooking Classes For Adults And Kids #FrizeMedia - https://t.co/dMkB4vENts @Charlesfr…,0,2,2021-02-16 23:18:36,#cooking
"RT @lifestyleloung: Chop it up! Dissecting the appreciation and art of food. https://t.co/b3qqPGMrMf

#hive #hivelifestyle #lifestylelounge…",0,7,2021-02-16 23:17:38,#cooking
"Move over taco Tuesday, its Tamale Pie Tuesday now! Rotisserie chicken is layered with polenta, enchilada sauce or… https://t.co/DbWoDLxyUM",3,2,2021-02-16 23:17:24,#cooking
Food can either be a nutritious dinner or an extravagance! We as a whole have our shortcomings with regards to what… https://t.co/0hLjmYpSnA,0,0,2021-02-16 23:17:21,#cooking
"RT @rebeccabutlerm2: Crack on, love. 

You’ve already got your head in position. 

Serving Suggestion: Sour Grapes. 
#RecipeOfTheDay #brexi…",0,12,2021-02-16 23:16:47,#cooking
RT @Kaceyla73: Feta and tomato pasta for dinner. #Yummy #Cooking  👩🏻‍🍳 https://t.co/kiPIXWhmp8,0,4,2021-02-16 23:15:03,#cooking
"RT @bargains__sales: #bargain #books for #Sales Sales all through #lockdown 

#Cooking 
#baking 
#desserts 
#painting 
#drawing 
#stories…",0,36,2021-02-16 23:14:13,#cooking
Feta and tomato pasta for dinner. #Yummy #Cooking  👩🏻‍🍳 https://t.co/kiPIXWhmp8,35,4,2021-02-16 23:14:07,#cooking
"After a day of #writing it is time to play with my new pots! Stir fry beef, onions, and peppers, mixed veggies, and… https://t.co/3726vYlXkM",17,0,2021-02-16 23:12:51,#cooking
"RT @western_rice_bc: Get going with your day with this #soup #meal | #Vegetarian, Good for the heart, #lactosefree #dish |
#Recipe: Red Len…",0,2,2021-02-16 23:11:36,#cooking
RT @2FunatEtsy: So cute cactus coaster set! #cactus #cactuslover #tabledecor #coasters #coasterset #mugrug #bars #bartender #margarita #teq…,0,12,2021-02-16 23:09:47,#cooking
"RT @SamaSamaBayArea: #SamaSamaTayo! Team pride: #youth cohosts, jr. producers, writers, graphic designer,et al. Checkout the replay video o…",0,4,2021-02-16 23:09:33,#cooking
"#Cooking is an art, but you eat it too. #thisiswhyimfull",0,0,2021-02-16 23:08:46,#cooking
"I was creative and made a variation on a Caprese Salad!🍇 Fresh mozzarella, red peppers, grapes, basil and parsley a… https://t.co/JqCfWrOR3x",1,0,2021-02-16 23:08:28,#cooking
"RT @McBrideWriter: Who wants chocolate chip pancakes?
🥞🍪🥞🍪🥞🍪🥞🍪🥞🍪
#food #cooking #chocolate #foodpoll https://t.co/ubm4Diacpr",0,45,2021-02-16 23:08:00,#cooking
"#SamaSamaTayo! Team pride: #youth cohosts, jr. producers, writers, graphic designer,et al. Checkout the replay vide… https://t.co/9u3V3JbPgj",3,4,2021-02-16 23:07:05,#cooking
RT @SultanaShanta: Meatball and veg soup. No frying involved. Totally oil free. My own East Asian influenced soup recipe. #soup #meatballs…,0,1,2021-02-16 23:07:05,#cooking
"RT @KedZee: Rights. So... I did my first batch of #carrotsoup🥕 ever and gotta say, I might need to do this thing again! Such a #delicious d…",0,1,2021-02-16 23:07:01,#cooking
RT @Charlesfrize: Reading about this: #FoodRecipes - #Cooking Tips Healthy Eating #Food Ideas #FrizeMedia - https://t.co/XbwbzzlPz3 @Charle…,0,3,2021-02-16 23:06:28,#cooking
"#Cooking is an art, but you eat it too. #thisiswhyimfull",0,0,2021-02-16 23:05:44,#cooking
RT @Jayheritage: ⁦Just arrived! ⁦@KosherSoul⁩ ⁦newest book. Can’t wait to savor every word! #cooking #culinaryhistorian #blackhistorymonth…,0,1,2021-02-16 23:05:35,#cooking
"👩‍🍳 NewbieTo Cooking Blog! 👨‍🍳

How to make Chicken And Dumplings Recipe-Easy and Tasty crockpot meal

👇 Visit The… https://t.co/EWJcZlpTN6",0,0,2021-02-16 23:05:25,#cooking
This week I'll be sharing some of my favorite citrus recipes and tips to bring some bright sunniness to your table… https://t.co/k06b6iqOKe,45,6,2021-02-16 23:03:33,#cooking
RT @TheQuakerSchool: One tip for #cooking with your kids: let your children choose the recipe. They will be much more invested in the outco…,0,2,2021-02-16 23:03:13,#cooking
"RT @McBrideWriter: What am I doing? 
#food #cooking #baking #foodquiz https://t.co/qWLyVEGR0J",0,13,2021-02-16 23:03:04,#cooking
8 Tips for the Best Kids https://t.co/b3itAvmmCu  Cooking Camp at Home via PlayDatesParty #cooking #kids https://t.co/IFDJPyyKtk,0,0,2021-02-16 23:01:10,#cooking
Today's top recipe from across the web: Damn Delicious - Slow Cooker Korean Beef #recipes #cooking https://t.co/YvYzPuM9yr,0,0,2021-02-16 23:00:04,#cooking
Baked potato soup kinda day! 🥣🥔 #cooking #texaswinterstorm #gasstoveperks https://t.co/5OvF5juYZp,16,0,2021-02-16 22:58:50,#cooking
It's never to cold to grill. #minnesotaboy #Grilling #coldweather #cooking https://t.co/3hum37tGQo,0,0,2021-02-16 22:58:00,#cooking
Please agree with me that this is a beautiful giraffe so my wife won’t eat him #Food #animals #toysrus #cooking… https://t.co/AJpvAVRdWu,0,0,2021-02-16 22:57:55,#cooking
"RT @ChubbieVegan: Gorgeous red lentil and coconut soup with an adapted @800Diet recipe.

Serves 4, at 300kcal each - check out my IG accoun…",0,2,2021-02-16 22:56:23,#cooking
"RT @western_rice_bc: Get going with your day with this #soup #meal | #Vegetarian, Good for the heart, #lactosefree #dish |
#Recipe: Red Len…",0,2,2021-02-16 22:56:11,#cooking
"RT @dbl4k: 5 kilos of dried chana (chickpea), 5 kilos of lentils and a big bag of garam masala.

Going to be trying to make curried vegetab…",0,1,2021-02-16 22:55:45,#cooking
Subscribe the channel! #cooking;https://t.co/SuzH8yc7Q5,0,0,2021-02-16 22:55:02,#cooking
"RT @SasantosAuthor: How about trying some vintage recipes?
These are the recipes that my grandmother used to make. They are delicious and r…",0,2,2021-02-16 22:52:07,#cooking
⁦Just arrived! ⁦@KosherSoul⁩ ⁦newest book. Can’t wait to savor every word! #cooking #culinaryhistorian… https://t.co/BCOhFmW7Gv,5,1,2021-02-16 22:51:42,#cooking
"5 kilos of dried chana (chickpea), 5 kilos of lentils and a big bag of garam masala.

Going to be trying to make cu… https://t.co/hEbdi0o8i8",2,1,2021-02-16 22:50:37,#cooking
"Roasted Cherry Tomato Bruschetta! YUM! Easy!
Foodomania #bruschetta #appetizers #cherrytomatoes #cooking… https://t.co/N7kT7cDbBL",0,0,2021-02-16 22:50:05,#cooking
Blog Archive: Summertime https://t.co/vyXykcGoiV #classes #cooking #englishliterature #juniorhonours,1,1,2021-02-16 22:49:48,#cooking
"RT @CompletePantry: Please take a minute to introduce yourself, where you are Tweeting from, and yes feel free to share a URL to your food…",0,3,2021-02-16 22:46:52,#cooking
