frequency,bigram/trigram,polarity,subjective
26,konosuba rezero danmachi,0.0,0.0
26,konosuba rezero,0.0,0.0
26,jibril shuvi schwi,0.0,0.0
26,jibril shuvi,0.0,0.0
26,goustogang goustorecipe goustobox,0.0,0.0
26,feelnilvalen fiinilvalen,0.0,0.0
26,danmachi tatenoyuusha anime,0.0,0.0
26,danmachi tatenoyuusha,0.0,0.0
26,chlammy feelnilvalen fiinilvalen,0.0,0.0
26,chlammy feelnilvalen,0.0,0.0
25,weightloss weightlossjourney,0.0,0.0
25,goustobox goustomeals,0.0,0.0
25,get 50 first,0.25,0.3333333333333333
25,foodie foodporn,0.0,0.0
24,yuki mokka shady,-0.25,0.625
24,yuki mokka,0.0,0.0
24,vegan veganfood,0.0,0.0
24,nogamenolife sora shiro,0.0,0.0
24,nogamenolife sora,0.0,0.0
24,healthylifestyle healthyfood,0.0,0.0
23,urbanjungle houseplant iloveplants,0.0,0.0
23,urbanjungle houseplant,0.0,0.0
23,plant plant,0.0,0.0
23,officeideas indoorplants urbanjungle,0.0,0.0
23,officeideas indoorplants,0.0,0.0
23,ngnl nogamenolife sora,0.0,0.0
23,indoorplants urbanjungle houseplant,0.0,0.0
23,indoorplants urbanjungle,0.0,0.0
23,houseplant iloveplants,0.0,0.0
23,brown rice,0.0,0.0
22,red onion,0.0,0.0
22,one favourite,0.0,0.0
22,izunangnl konosuba rezero,0.0,0.0
22,izunangnl konosuba,0.0,0.0
22,izuna izunangnl konosuba,0.0,0.0
22,izuna izunangnl,0.0,0.0
22,fiinilvalen izuna izunangnl,0.0,0.0
22,fiinilvalen izuna,0.0,0.0
22,feelnilvalen fiinilvalen izuna,0.0,0.0
22,dr alia,0.0,0.0
21,shady mokka shady,-0.25,0.625
21,homejungle homegarden,0.0,0.0
21,father day,0.0,0.0
21,dinner tonight,0.0,0.0
21,delicious meal,1.0,1.0
21,balam shady,-0.25,0.625
21,balam mokka shady,-0.25,0.625
21,balam mokka,0.0,0.0
20,sweet treat,0.35,0.65
20,plant plant flower,0.0,0.0
20,plant flower,0.0,0.0
20,place order,0.0,0.0
20,new recipe,0.13636363636363635,0.45454545454545453
20,first time,0.25,0.3333333333333333
20,dfwvegan eatlocal,0.0,0.0
19,tree homejungle,0.0,0.0
19,tap link bio,0.0,0.0
19,tap link,0.0,0.0
19,shiro sora,0.0,0.0
19,plant flower tree,0.0,0.0
19,next week,0.0,0.0
19,mezeboxes giftoffood grazeboxes,0.0,0.0
19,mezeboxes giftoffood,0.0,0.0
19,homejungle homegarden indoorgarden,0.0,0.0
19,homegarden indoorgarden,0.0,0.0
19,grazeboxes greekfoodlovers,0.0,0.0
19,goustorecipe goustobox goustomeals,0.0,0.0
19,giftoffood grazeboxes greekfoodlovers,0.0,0.0
19,giftoffood grazeboxes,0.0,0.0
19,fried rice,0.0,0.0
19,free delivery,0.4,0.8
19,foodphotography foodstagram,0.0,0.0
19,flower tree homejungle,0.0,0.0
19,flower tree,0.0,0.0
19,eatlocal eatgreek,0.0,0.0
19,balam shady mokka,-0.25,0.625
18,wfpblifestyle plantbasedhealing plantbasedhealth,0.0,0.0
18,wfpblifestyle plantbasedhealing,0.0,0.0
18,vegan plantbased,0.0,0.0
18,tonight dinner,0.0,0.0
18,thegod tet izuna,0.0,0.0
18,thegod tet,0.0,0.0
18,tet izuna,0.0,0.0
18,tagsignore shirosorashirosora sora,0.0,0.0
