,term,rank
74460,thefeastboxin chinese,1.4758317619241699
13982,ck fit,1.4657597683204135
73780,teamlittlebirds shape fitgirl,1.4657597683204135
26599,fitnessgirl teamshape,1.4657597683204135
73787,teamshape aarmy,1.4657597683204135
73779,teamlittlebirds shape,1.4657597683204135
64061,running ck fit,1.4657597683204135
64060,running ck,1.4657597683204135
69713,sportas teamlittlebirds shape,1.4657597683204135
57113,photo running,1.4657597683204135
6370,beaute photographie photo,1.4657597683204135
26491,fitgirl beaute photographie,1.4657597683204135
26490,fitgirl beaute,1.4657597683204135
6369,beaute photographie,1.4657597683204135
66440,shape fitgirl beaute,1.4657597683204135
26600,fitnessgirl teamshape aarmy,1.4657597683204135
1592,aarmy sportas,1.4657597683204135
13983,ck fit fitspo,1.4657597683204135
66439,shape fitgirl,1.4657597683204135
57286,picoftheday fitnessgirl teamshape,1.4657597683204135
57285,picoftheday fitnessgirl,1.4657597683204135
57148,photographie photo running,1.4657597683204135
69712,sportas teamlittlebirds,1.4657597683204135
57114,photo running ck,1.4657597683204135
1593,aarmy sportas teamlittlebirds,1.4657597683204135
26413,fit fitspo fityourdreams,1.4657597683204135
26674,fitspo fityourdreams,1.4657597683204135
73788,teamshape aarmy sportas,1.4657597683204135
57147,photographie photo,1.4657597683204135
68767,sora jibril,1.4646189378964731
15199,complimentary contest,1.4632385499610994
27846,foodhaul zomato,1.4598988650719789
27847,foodhaul zomato magicpin,1.4598988650719789
62020,recipe meal,1.4505080583538874
40906,kimojistyle livinglegends,1.4289266023050748
26221,first meal,1.4276537863796155
29868,friday night,1.4233950477154764
51614,ngnl shiro,1.3937672634876075
68778,sora shiro,1.3811708749557217
57660,place order thefeastboxin,1.3776137359474498
52060,noida delhincr chinesefood,1.3776137359474498
50756,nasi goreng indonesian,1.3776137359474498
83453,wokfeast onlineordering ordernow,1.3776137359474498
83452,wokfeast onlineordering,1.3776137359474498
74462,thefeastboxin chinese yummy,1.3776137359474498
84923,yummy foodhaul,1.3776137359474498
84924,yummy foodhaul zomato,1.3776137359474498
32682,goreng indonesian fried,1.3776137359474498
32681,goreng indonesian,1.3776137359474498
29984,fried rice one,1.3776137359474498
19066,delhincr chinesefood,1.3776137359474498
4969,authentic wokfeast onlineordering,1.3776137359474498
4968,authentic wokfeast,1.3776137359474498
63250,rice one specialty,1.3776137359474498
53991,one specialty call,1.3776137359474498
53990,one specialty,1.3776137359474498
45487,magicpin noida delhincr,1.3776137359474498
13177,chinesefood authentic wokfeast,1.3776137359474498
19067,delhincr chinesefood authentic,1.3776137359474498
63249,rice one,1.3776137359474498
13150,chinese yummy foodhaul,1.3776137359474498
69249,specialty call 9818640011,1.3776137359474498
38335,indonesian fried rice,1.3776137359474498
69248,specialty call,1.3776137359474498
38334,indonesian fried,1.3776137359474498
35120,healthylifestyle healthyfood,1.3403697998743087
9667,bungjagoi bungjagoitourism,1.3377043277415852
28596,foodspring foodspringfamily,1.3229838266574498
41436,kurami izuna,1.3147887669499079
21941,easy make,1.3096214513364077
26683,fityourdreams workout,1.3075209497699065
39983,jelefaycardio photographie,1.3075209497699065
50293,musculationfrance jelefaycardio,1.3075209497699065
69703,sport musuc,1.3075209497699065
26676,fitspo fityourdreams workout,1.3075209497699065
1602,ab musculationfrance,1.3075209497699065
26684,fityourdreams workout ab,1.3075209497699065
83698,workout ab musculationfrance,1.3075209497699065
83697,workout ab,1.3075209497699065
50294,musculationfrance jelefaycardio photographie,1.3075209497699065
1603,ab musculationfrance jelefaycardio,1.3075209497699065
19276,delivery cooking,1.3034594740139949
62152,recipebox mealkit,1.3034594740139949
28797,foodstagram foodblogger,1.2931802374533885
48063,midnightdemonsgarage stndrdissue,1.2695268923369096
41477,kurami midnightdemonsgarage stndrdissue,1.2695268923369096
36723,homedelivery onlineordering,1.24898604737249
4509,aroidsocietyau aroidfanatic,1.24891357292075
80833,wa 085691028535,1.2397485712297969
64663,saturday dinner,1.2289574358759774
64009,ruki ngnlz,1.2269042372643404
39670,izuna elkia,1.2269042372643404
22860,elkia disboard imanity,1.2269042372643404
39671,izuna elkia disboard,1.2269042372643404
22859,elkia disboard,1.2269042372643404
25599,feel kurami izuna,1.2269042372643404
74079,tet shuvi,1.2269042372643404
20469,disboard imanity,1.2269042372643404
37999,imanity game,1.2269042372643404
38000,imanity game videogames,1.2269042372643404
51640,ngnlz ngnl,1.2269042372643404
51641,ngnlz ngnl shiro,1.2269042372643404
80503,videogames tet shuvi,1.2269042372643404
70483,stephanie feel,1.2269042372643404
70484,stephanie feel kurami,1.2269042372643404
80502,videogames tet,1.2269042372643404
25598,feel kurami,1.2269042372643404
30691,game videogames,1.2269042372643404
30692,game videogames tet,1.2269042372643404
40056,jibril stephanie feel,1.2269042372643404
20470,disboard imanity game,1.2269042372643404
51988,nogamenolife sora jibril,1.2269042372643404
41437,kurami izuna elkia,1.2269042372643404
64010,ruki ngnlz ngnl,1.2269042372643404
66925,shuvi ruki ngnlz,1.2269042372643404
66924,shuvi ruki,1.2269042372643404
68769,sora jibril stephanie,1.2269042372643404
74080,tet shuvi ruki,1.2269042372643404
51431,new year,1.2240200938779564
76849,training goodtraining,1.2192916062285573
50261,muscle diet healthyfood,1.2192916062285573
35000,healthyfood healthydiet,1.2192916062285573
35001,healthyfood healthydiet bodybuilding,1.2192916062285573
35160,healthylifestyle sport,1.2192916062285573
35161,healthylifestyle sport instagram,1.2192916062285573
56887,personaltrainer myproteinuk muscle,1.2192916062285573
49887,motivation workout training,1.2192916062285573
49886,motivation workout,1.2192916062285573
8009,bodybuilding motivation workout,1.2192916062285573
50260,muscle diet,1.2192916062285573
8008,bodybuilding motivation,1.2192916062285573
76850,training goodtraining bulkpowders,1.2192916062285573
76861,training myproteinit,1.2192916062285573
8010,bodybuilding training,1.2192916062285573
76862,training myproteinit myproteinru,1.2192916062285573
8011,bodybuilding training myproteinit,1.2192916062285573
84200,yamamotonutrition foodspring,1.2192916062285573
84201,yamamotonutrition foodspring healthyrecepes,1.2192916062285573
50622,myprotein bodybuilding training,1.2192916062285573
56886,personaltrainer myproteinuk,1.2192916062285573
39045,instagram healthy gymlife,1.2192916062285573
50629,myproteinit myproteinru healthylifestyle,1.2192916062285573
50630,myproteinru healthylifestyle,1.2192916062285573
50631,myproteinru healthylifestyle sport,1.2192916062285573
9604,bulkpowders fit,1.2192916062285573
50632,myproteinuk muscle,1.2192916062285573
50633,myproteinuk muscle diet,1.2192916062285573
69699,sport instagram,1.2192916062285573
69700,sport instagram healthy,1.2192916062285573
26430,fit powered yamamotonutrition,1.2192916062285573
28634,foodspring healthyrecepes,1.2192916062285573
50621,myprotein bodybuilding,1.2192916062285573
39044,instagram healthy,1.2192916062285573
26429,fit powered,1.2192916062285573
26639,fitnessmotivation myprotein bodybuilding,1.2192916062285573
26638,fitnessmotivation myprotein,1.2192916062285573
33797,gymlife crossfit personaltrainer,1.2192916062285573
33796,gymlife crossfit,1.2192916062285573
26562,fitness gym,1.2192916062285573
26563,fitness gym workout,1.2192916062285573
33788,gym workout,1.2192916062285573
50628,myproteinit myproteinru,1.2192916062285573
9605,bulkpowders fit powered,1.2192916062285573
33789,gym workout fitnessmotivation,1.2192916062285573
83706,workout fitnessmotivation,1.2192916062285573
34677,healthy gymlife crossfit,1.2192916062285573
83707,workout fitnessmotivation myprotein,1.2192916062285573
32634,goodtraining bulkpowders fit,1.2192916062285573
34676,healthy gymlife,1.2192916062285573
83724,workout training,1.2192916062285573
34852,healthydiet bodybuilding motivation,1.2192916062285573
17373,crossfit personaltrainer,1.2192916062285573
32633,goodtraining bulkpowders,1.2192916062285573
34851,healthydiet bodybuilding,1.2192916062285573
83725,workout training goodtraining,1.2192916062285573
59567,powered yamamotonutrition,1.2192916062285573
19811,diet healthyfood,1.2192916062285573
59568,powered yamamotonutrition foodspring,1.2192916062285573
19812,diet healthyfood healthydiet,1.2192916062285573
17374,crossfit personaltrainer myproteinuk,1.2192916062285573
70819,stndrdissuenation kimojistyle,1.2128610949293712
78657,variegata philodendron,1.2051896030992018
48436,mindful chef,1.1953445787152779
64929,sausage pasta,1.1933000548121864
12551,chicken fajita,1.1931471594875456
64448,salt pepper,1.1780914787203043
71794,super easy,1.155802372497547
85055,yummy yummyfood,1.1531705766890252
7500,black bean,1.1449128200043106
69807,spring onion,1.1426008776391872
47079,meal week,1.1350478190829998
31817,glutenfree veganfood,1.13071621529324
38590,ingredient fresh,1.1187243221728
45496,magicpin sodelhi,1.1008306362205469
10024,butternut squash,1.093329900030165
49855,motivacion sport musuc,1.0903409730821128
49854,motivacion sport,1.0903409730821128
62022,recipe meal delicacy,1.0884402117132517
38592,ingredient fresh scrumptious,1.0884402117132517
65339,scrumptious instafood,1.0884402117132517
19105,delicacy dish,1.0884402117132517
20633,dish dish,1.0884402117132517
65340,scrumptious instafood yum,1.0884402117132517
19106,delicacy dish dish,1.0884402117132517
16141,cooking recipe,1.0884402117132517
46789,meal delicacy,1.0884402117132517
38944,instafood yum,1.0884402117132517
36681,homecooking instayum instagood,1.0884402117132517
39130,instayum instagood,1.0884402117132517
21902,eastern ingredient fresh,1.0884402117132517
